   Vx       Vy       Vz      |V|    
-410.82   -0.59    65.30    415.98 
-409.10   -1.87    65.77    414.36 
-407.38   -3.15    66.24    412.74 
-405.66   -4.42    66.70    411.13 
-403.95   -5.70    67.17    409.54 
-403.95   -5.70    67.17    409.54 
-403.95   -5.70    67.17    409.54 
-403.95   -5.70    67.17    409.54 
-404.42   -1.66    68.37    410.16 
-404.21   -3.04    68.44    409.97 
-403.99   -4.41    68.50    409.78 
-403.77   -5.79    68.57    409.59 
-403.55   -7.16    68.63    409.41 
-403.55   -7.16    68.63    409.41 
-403.55   -7.16    68.63    409.41 
-403.55   -7.16    68.63    409.41 
-407.25   -4.02    74.97    414.11 
-407.37    0.08    73.35    413.92 
-407.48    4.18    71.72    413.76 
-407.60    8.29    70.09    413.67 
-407.71   12.39    68.46    413.60 
-407.30   10.80    70.03    413.42 
-406.89    9.21    71.59    413.24 
-406.48    7.62    73.15    413.08 
-406.08    6.03    74.71    412.94 
-406.08    6.03    74.71    412.94 
-406.08    6.03    74.71    412.94 
-406.08    6.03    74.71    412.94 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.75    2.03    87.36    414.08 
-404.52    4.80    95.16    415.59 
-404.52    4.80    95.16    415.59 
-404.52    4.80    95.16    415.59 
-404.52    4.80    95.16    415.59 
-410.39   17.42    93.21    421.20 
-410.39   17.42    93.21    421.20 
-410.39   17.42    93.21    421.20 
-410.39   17.42    93.21    421.20 
-412.35   21.53    99.02    424.62 
-413.63   15.77    86.25    422.82 
-414.90   10.00    73.49    421.48 
-416.18    4.23    60.72    420.61 
-417.45   -1.53    47.95    420.20 
-413.10    0.25    42.04    415.23 
-408.74    2.03    36.13    410.34 
-404.39    3.82    30.21    405.53 
-400.03    5.60    24.30    400.81 
-400.03    5.60    24.30    400.81 
-400.03    5.60    24.30    400.81 
-400.03    5.60    24.30    400.81 
-409.80   10.74    61.78    414.57 
-409.80   10.74    61.78    414.57 
-409.80   10.74    61.78    414.57 
-409.80   10.74    61.78    414.57 
-421.24   17.17    67.97    427.03 
-421.24   17.17    67.97    427.03 
-421.24   17.17    67.97    427.03 
-421.24   17.17    67.97    427.03 
-430.62   -11.67   68.08    436.12 
-425.04   -11.88   63.64    429.94 
-419.45   -12.08   59.20    423.78 
-413.86   -12.29   54.76    417.65 
-408.28   -12.49   50.33    411.56 
-408.28   -12.49   50.33    411.56 
-408.28   -12.49   50.33    411.56 
-408.28   -12.49   50.33    411.56 
-413.22   -0.43     7.94    413.30 
-409.03   -1.02     4.47    409.06 
-404.84   -1.61     0.99    404.84 
-400.64   -2.20    -2.48    400.65 
-396.45   -2.78    -5.96    396.50 
-395.95   -2.95    -5.12    395.99 
-395.44   -3.12    -4.28    395.48 
-394.94   -3.29    -3.44    394.97 
-394.43   -3.46    -2.60    394.45 
-394.43   -3.46    -2.60    394.45 
-394.43   -3.46    -2.60    394.45 
-394.43   -3.46    -2.60    394.45 
-396.24    3.24    -12.40   396.45 
-395.90    1.24    -10.45   396.04 
-395.56   -0.76    -8.50    395.65 
-395.21   -2.76    -6.55    395.27 
-394.87   -4.75    -4.59    394.93 
-394.87   -4.75    -4.59    394.93 
-394.87   -4.75    -4.59    394.93 
-394.87   -4.75    -4.59    394.93 
-396.59   -7.52    -2.99    396.67 
-396.50   -7.53    -3.38    396.59 
-396.42   -7.54    -3.78    396.51 
-396.34   -7.55    -4.17    396.43 
-396.25   -7.56    -4.57    396.35 
-396.25   -7.56    -4.57    396.35 
-396.25   -7.56    -4.57    396.35 
-396.25   -7.56    -4.57    396.35 
-398.04   -10.52   -5.89    398.22 
-397.78   -9.09    -4.14    397.91 
-397.52   -7.66    -2.39    397.60 
-397.26   -6.22    -0.64    397.31 
-397.01   -4.79     1.11    397.04 
-397.01   -4.79     1.11    397.04 
-397.01   -4.79     1.11    397.04 
-397.01   -4.79     1.11    397.04 
-401.84   -9.77     5.38    401.99 
-401.84   -9.77     5.38    401.99 
-401.84   -9.77     5.38    401.99 
-401.84   -9.77     5.38    401.99 
-403.86    4.03     5.65    403.92 
-403.39    2.94     5.35    403.44 
-402.92    1.85     5.04    402.96 
-402.45    0.75     4.74    402.48 
-405.71   -3.45     4.39    405.75 
-404.78   -2.67     4.40    404.81 
-403.85   -1.90     4.41    403.88 
-402.92   -1.12     4.42    402.95 
-401.98   -0.34     4.43    402.00 
-401.05    0.43     4.45    401.07 
-400.12    1.21     4.46    400.15 
-399.19    1.99     4.47    399.22 
-398.26    2.76     4.48    398.29 
-397.60    2.91     4.26    397.63 
-396.95    3.06     4.05    396.98 
-396.30    3.21     3.83    396.33 
-395.64    3.36     3.61    395.67 
-395.64    3.36     3.61    395.67 
-395.64    3.36     3.61    395.67 
